Cód. Artículo,Referencia,Centro Costos 1,Centro Costos 2,Centro Costos 3,Centro Costos 4,Centro Costos 5
43026,Cartulina Zenith Cal0.22 350 gr / Bobina,11212517001,,,,
43022,Cartulina Zenith Cal0.22 350 gr 70*100,11212517001,,,,
36312,Earth Pack Antigraso 302 gr 70*100,11212517001,,,,
36211,Earth Pack Natural 070 gr 60*90,11212517001,,,,
36201,Earth Pack Natural 070 gr 70*100,11212517001,,,,
36102,Earth Pack Natural 090 gr 60*90,11212517001,,,,
36101,Earth Pack Natural 090 gr 70*100,11212517001,,,,
36261,Earth Pack Natural 150 gr 60*90,11212517001,,,,
36103,Earth Pack Natural 200 gr 70*100,11212517001,,,,
36151,Earth Pack Natural 226 gr 70*100,11212517001,,,,
36301,Earth Pack Natural 295 gr 70*100,11212517001,,,,
363074,Earth Pack Natural Cal0.46 302 gr Kit 7 Ancho 52cm,11212517001,,,,
363073,Earth Pack Natural Cal0.46 302 gr Kit 7 Ancho 71cm,11212517001,,,,
363072,Earth Pack Natural Cal0.46 302 gr Kit 7 Ancho 76cm,11212517001,,,,
363071,Earth Pack Natural Cal0.46 302 gr Kit 7 Ancho 94cm,11212517001,,,,
13001,ELECT 59.2GR 42 CM 80 % BLANC,11212417001,11212117001,,,
13002,"ELECT. 52 GR 43,8CM 80% BLANC",11212417001,11212317001,,,
29066,ELECTRACOTE 53 GR 72% BL 31.8 CM,11212417001,11212317001,,,
37021,Kraft 90 gr 70*100,11212417001,,,,
29065,"LWC 54 GR 63,5 CM",11212317001,11212417001,,,
29064,LWC 54 GR 84 CM,11212317001,11212417001,,,
290701,LWC 54 GR 86CM,11212317001,11212417001,,,
46005,Maule C22 Rev / Bco 315 gr 60*90,11212517001,,,,
46013,Maule C22 Rev / Bco 315 gr 70*100,11212517001,,,,
38012,Opalina Blanca 180 gr 70*100,11216117001,,,,
38010,PAPEL ADHESIVO SEGURIDAD 90 gr 70*100,11212317001,,,,
18003,PAPEL ALTA BLANCURA 52 GR 86 CM,11212117001,,,,
38014,PAPEL COPIA MANIFOLD,11216117001,,,,
38019,PAPEL LINO BELGA 9 GR 70*100,11216117001,,,,
38003,PAPEL QUIM FINAL 70*100,11212417001,,,,
38001,PAPEL QUIM ORIG BLANCO 70*100,11212417001,,,,
38031,PCOTE ADHESIVO CORRIENTE,11212317001,,,,
11015,PERIODICO STANDAR 43 GR 28 CM,11212117001,11212417001,11212317001,,
17028,PERIODICO STANDARD 42 GR 28 CM,11212117001,11212417001,11212317001,,
17027,PERIODICO STANDARD 42 GR 36.5 CM,11212117001,11212417001,11212317001,,
17029,PERIODICO STANDARD 42 GR 42 CM,11212117001,11212417001,11212317001,,
17025,"PERIODICO STANDARD 42 GR 63,5 CM",11212117001,11212417001,11212317001,,
17026,PERIODICO STANDARD 42 GR 73 CM,11212117001,11212417001,11212317001,,
17022,PERIODICO STANDART 42 GR 56 CM,11212117001,11212417001,11212317001,,
17020,PERIODICO STANDART 42 GR 84 CM,11212117001,11212417001,11212317001,,
21002,Propal MATE C2S 090 gr 60*90,11212417001,11212317001,,,
22002,Propal MATE C2S 115 gr 60*90,11212417001,11212317001,,,
22012,Propal MATE C2S 115 gr 70*100,11212417001,11212317001,,,
23002,Propal MATE C2S 150 gr 60*90,11212417001,11212317001,,,
23012,Propal MATE C2S 150 gr 70*100,11212417001,11212317001,,,
25002,Propal MATE C2S 200 gr 60*90,11212417001,11212317001,,,
25012,Propal MATE C2S 200 gr 70*100,11212417001,11212317001,,,
26012,Propal MATE C2S 240 gr 70*100,11212417001,11212317001,,,
28022,Propal MATE C2S 300 gr 70*100,11212417001,11212317001,,,
21014,Propalcote C1S 090 gr 70*100,11212417001,11212317001,,,
24001,Propalcote C1S 160 gr 70*100,11212417001,11212317001,,,
25811,Propalcote C1S 210 gr 70*100,11212417001,11212317001,,,
27011,Propalcote C1S SBS 280 gr 70*100,11212417001,11212317001,,,
28012,Propalcote C1S SBS 300 gr 70*100,11212417001,11212317001,,,
28021,Propalcote C1S SBS 320 gr 70*100,11212417001,11212317001,,,
21001,Propalcote C2S 090 gr 60*90,11212417001,11212317001,,,
22005,Propalcote C2S 115 gr 60*78,11212417001,11212317001,,,
22001,Propalcote C2S 115 gr 60*90,11212417001,11212317001,,,
22013,Propalcote C2S 115 gr 70*100,11212417001,11212317001,,,
23001,Propalcote C2S 150 gr 60*90,11212417001,11212317001,,,
23011,Propalcote C2S 150 gr 70*100,11212417001,11212317001,,,
24005,Propalcote C2S 170 gr 70*100,11212417001,11212317001,,,
25001,Propalcote C2S 200 gr 60*90,11212417001,11212317001,,,
25011,Propalcote C2S 200 gr 70*100,11212417001,11212317001,,,
26001,Propalcote C2S 240 gr 60*90,11212417001,11212317001,,,
26011,Propalcote C2S 240 gr 70*100,11212417001,11212317001,,,
28001,Propalcote C2S 300 gr 60*90,11212417001,11212317001,,,
28011,Propalcote C2S 300 gr 70*100,11212417001,11212317001,,,
29002,Propalibros Beige 070 gr 60*90,11212217001,11212317001,,,
29001,Propalibros Beige 070 gr 70*100,11212217001,11212317001,,,
29003,Propalibros Beige 090 gr 70*100,11212217001,11212317001,,,
11016,"RESOLUTE ALTERNATIVE 51.8 GR 31,8 CM",11212117001,11212417001,11212317001,,
16011,RESOLUTE ALTERNATIVE 51.8 GR 42 CM,11212117001,11212417001,11212317001,,
14004,"RESOLUTE ALTERNATIVE 51.8 GR 63,5 CM",11212117001,11212417001,11212317001,,
17002,RESOLUTE ALTERNATIVE 51.8 GR 84 CM,11212117001,11212417001,11212317001,,
21401,SAPPI C2S 104 GR 60 X 90,11212317001,11212417001,,,
54005,AMARILLO HEAT SET,11212417001,11212317001,,,
52012,AMARILLO NOVAVIT SPEED 700,11212417001,11212317001,11212517001,11212217001,
52034,AMARILLO OFSET 253 FLUVIN,11212417001,11212317001,11212517001,11212217001,
53005,AMARILLO PANTONE 109-C,11212417001,11212317001,11212517001,11212217001,
54003,AMARILLO PERIODICO,11212117001,11212417001,11212317001,,
52031,AMARILLO RESISTA HUBER,11212417001,11212317001,11212517001,11212217001,
51011,AMARILLO ROJIZO R.5122,11212417001,11212317001,11212517001,11212217001,
51051,AZUL BRONCE R.5129,11212417001,11212317001,11212517001,11212217001,
54055,AZUL HEAT SET,11212417001,11212317001,,,
51081,AZUL LAGO R.51427,11212417001,11212317001,11212517001,11212217001,
52062,AZUL NOVAVIT SPEED 700,11212417001,11212317001,11212517001,11212217001,
53060,AZUL PANTONE 2738C,11212417001,11212317001,11212517001,11212217001,
53101,AZUL PANTONE 280 C,11212417001,11212317001,11212517001,11212217001,
54307,AZUL PANTONE 281,11212417001,11212317001,11212517001,11212217001,
53102,AZUL PANTONE 7462C,11212417001,11212317001,11212517001,11212217001,
53053,AZUL PANTONE REFLEX 39407,11212417001,11212317001,11212517001,11212217001,
53061,AZUL PANTONE112-7C,11212417001,11212317001,11212517001,11212217001,
54053,AZUL PERIODICO,11212117001,11212417001,11212317001,,
52081,AZUL RESISTA HUBER,11212417001,11212317001,11212517001,11212217001,
55102,BARNIZ ACUOSO P/TINTERO,11212517001,11212417001,,,
